#起始日期：2016-01-30  终止日期：2016-01-30
#交易金额合计：157笔，共10620.00元
#下载时间：2016-01-30 17:02:07

退款申请时间	微信退款单号	商户退款单号	退款状态	退款成功时间	退款金额(元)	现金券退款金额(元)	微信支付单号	商户订单号	商户号	子商户号	交易金额(元)	appid	下单用户	退款入账账户	退款方式	
2016-01-30 10:14:32	`2005400438201601300140705923	`110309662016012528845665131454120072	"退款成功"	2016-01-30 11:01:44	38.00	0.00	`1005400438201601252884566513	`E2016012504210627352	1296288001		66.00	wxa9e5e7de9a850cea	odyFWs9DqmrygikqV-tOnXHNEb4M		原路退回
2016-01-30 10:14:00	`2002700438201601300140701388	`110309662016012428769203181454120039	"退款成功"	2016-01-30 11:00:49	38.00	0.00	`1002700438201601242876920318	`E2016012417083851569	1296288001		126.00	wxa9e5e7de9a850cea	odyFWs8SN09-bBmZxOJvnklaLdm8		原路退回
2016-01-30 09:42:34	`2007720438201601300140690519	`110309662016012829504796781454118154	"退款成功"	2016-01-30 09:55:39	98.00	0.00	`1007720438201601282950479678	`E2016012812422756234	1296288001		98.00	wxa9e5e7de9a850cea	odyFWs1vqxKzkjRfX-_3bkHi2afQ		原路退回
2016-01-30 09:42:13	`2007470438201601300140701207	`110309662016012729360911511454118133	"退款成功"	2016-01-30 09:54:25	76.00	0.00	`1007470438201601272936091151	`E2016012718244835874	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs7nP5FnkeL9E26DTJFHm3bc		原路退回
2016-01-30 09:41:46	`2002730438201601300140683988	`110309662016012528989547511454118106	"退款成功"	2016-01-30 09:53:02	38.00	0.00	`1002730438201601252898954751	`E2016012521162846014	1296288001		38.00	wxa9e5e7de9a850cea	odyFWswP2MCyaR5EkTxL84yqwIZg		原路退回
2016-01-30 09:41:24	`2004480438201601300140683984	`110309662016012528847903901454118084	"退款成功"	2016-01-30 09:54:25	38.00	0.00	`1004480438201601252884790390	`E2016012507002437088	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs0jc2zE9XU6piF5K5Byd_ng		原路退回
2016-01-30 09:40:59	`2003200438201601300140693640	`110309662016012528845364471454118059	"退款成功"	2016-01-30 09:53:48	76.00	0.00	`1003200438201601252884536447	`E2016012503553300916	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs118lm0MjrPPBq9skRdQAEQ		原路退回
2016-01-29 11:02:13	`2006820438201601290139802389	`110309662016012328570738501454036533	"退款成功"	2016-01-29 11:14:10	88.00	0.00	`1006820438201601232857073850	`E2016012314415735293	1296288001		126.00	wxa9e5e7de9a850cea	odyFWs9C2sLxqdQWZRDZYrS2N3JY		原路退回
2016-01-28 19:45:55	`2003400438201601280139460490	`110309662016012729403047291453981555	"退款成功"	2016-01-28 19:54:34	38.00	0.00	`1003400438201601272940304729	`E2016012721305883713	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs19oominWJR-JGK_W31wJIA		原路退回
2016-01-28 19:45:28	`2003700438201601280139448739	`110309662016012729385986311453981528	"退款成功"	2016-01-28 20:00:51	98.00	0.00	`1003700438201601272938598631	`E2016012720121018456	1296288001		98.00	wxa9e5e7de9a850cea	odyFWsxIZr758rrE2XeJpXhG_Hl4		原路退回
2016-01-28 19:45:04	`2001180438201601280139448195	`110309662016012729306411451453981504	"退款成功"	2016-01-28 19:52:37	76.00	0.00	`1001180438201601272930641145	`E2016012713533150314	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs7CMeg8QiHaiE4QkVGCqloY		原路退回
2016-01-28 19:44:38	`2001180438201601280139462231	`110309662016012729304749991453981478	"退款成功"	2016-01-28 20:00:38	570.00	0.00	`1001180438201601272930474999	`E2016012713452259461	1296288001		570.00	wxa9e5e7de9a850cea	odyFWs7CMeg8QiHaiE4QkVGCqloY		原路退回
2016-01-28 19:43:17	`2002920438201601280139463405	`110309662016012629211300681453981397	"退款成功"	2016-01-28 19:54:14	38.00	0.00	`1002920438201601262921130068	`E2016012623273012574	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs0bBRzgSKzh6T2RtOhbIXqI		原路退回
2016-01-28 19:42:57	`2007320438201601280139448180	`110309662016012629193255501453981377	"退款成功"	2016-01-28 19:57:19	76.00	0.00	`1007320438201601262919325550	`E2016012621493395171	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs90UQWFGHF83LLmk-PWA5Hg		原路退回
2016-01-28 19:42:19	`2005560438201601280139462215	`110309662016012629152693561453981339	"退款成功"	2016-01-28 19:56:00	38.00	0.00	`1005560438201601262915269356	`E2016012618493349725	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs4PenHN39m3R-uWbrNStfs4		原路退回
2016-01-28 19:41:59	`2006180438201601280139457471	`110309662016012528988579341453981319	"退款成功"	2016-01-28 19:54:29	38.00	0.00	`1006180438201601252898857934	`E2016012521105858549	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs7mLrg6wClC-5nbJoBGJenM		原路退回
2016-01-28 19:41:38	`2002440438201601280139462623	`110309662016012528954876511453981298	"退款成功"	2016-01-28 19:53:56	38.00	0.00	`1002440438201601252895487651	`E2016012518294274970	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs2GLq_4QUt090v1cMYwprsI		原路退回
2016-01-28 19:41:17	`2003930438201601280139454068	`110309662016012528851645211453981277	"退款成功"	2016-01-28 19:54:19	38.00	0.00	`1003930438201601252885164521	`E2016012508174071653	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs8WXP3lE91ox5cDNoMi8kCE		原路退回
2016-01-28 19:40:56	`2004730438201601280139448701	`110309662016012428764628871453981256	"退款成功"	2016-01-28 19:54:48	38.00	0.00	`1004730438201601242876462887	`E2016012416435562215	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs6xjFpBM8cI3cSHurMwjMWA		原路退回
2016-01-28 19:40:35	`2003760438201601280139457450	`110309662016012328657664161453981235	"退款成功"	2016-01-28 19:55:24	38.00	0.00	`1003760438201601232865766416	`E2016012322333590924	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs_nCbZYfG1toU_-dT0kwzsU		原路退回
2016-01-28 19:40:14	`2005650438201601280139462603	`110309662016012328637397291453981214	"退款成功"	2016-01-28 19:55:21	38.00	0.00	`1005650438201601232863739729	`E2016012320322906796	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs_G9XJILiI-_f5wJTbEySNc		原路退回
2016-01-28 19:39:51	`2001770438201601280139458223	`110309662016012328618772511453981191	"退款成功"	2016-01-28 19:53:10	38.00	0.00	`1001770438201601232861877251	`E2016012318545571147	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9hzumdgISK34ACuDKHfWgM		原路退回
2016-01-28 19:39:31	`2003600438201601280139458218	`110309662016012328617269461453981171	"退款成功"	2016-01-28 19:55:13	38.00	0.00	`1003600438201601232861726946	`E2016012318475198330	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9reUkzgO59XJPIXOmQc3qY		原路退回
2016-01-28 19:39:09	`2002660438201601280139461420	`110309662016012328602999961453981149	"退款成功"	2016-01-28 19:53:04	38.00	0.00	`1002660438201601232860299996	`E2016012317384820459	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9EAEA4jOK7HiNY4sbnpdXM		原路退回
2016-01-28 19:38:46	`2001070438201601280139448686	`110309662016012328602053421453981126	"退款成功"	2016-01-28 19:52:36	38.00	0.00	`1001070438201601232860205342	`E2016012317333481701	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsyVczxPrsdllLcU177RmRkY		原路退回
2016-01-28 19:38:22	`2004300438201601280139445989	`110309662016012328600904071453981102	"退款成功"	2016-01-28 19:53:47	114.00	0.00	`1004300438201601232860090407	`E2016012317273277875	1296288001		114.00	wxa9e5e7de9a850cea	odyFWsx0YtIr886JBjC39jp5Mepk		原路退回
2016-01-28 19:38:00	`2002500438201601280139448680	`110309662016012328599380751453981080	"退款成功"	2016-01-28 19:53:00	38.00	0.00	`1002500438201601232859938075	`E2016012317202926747	1296288001		38.00	wxa9e5e7de9a850cea	odyFWsx-KrHYCmV_AausfK5d7kaw		原路退回
2016-01-28 19:37:40	`2006660438201601280139460422	`110309662016012328590063141453981060	"退款成功"	2016-01-28 19:54:42	38.00	0.00	`1006660438201601232859006314	`E2016012316312680617	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs9Qvd8Xf8dA_XwYoVia-6Kw		原路退回
2016-01-28 19:37:18	`2009170438201601280139448109	`110309662016012328587676951453981038	"退款成功"	2016-01-28 19:57:13	38.00	0.00	`1009170438201601232858767695	`E2016012316181165750	1296288001		38.00	wxa9e5e7de9a850cea	odyFWs7PyATP20G_Mw4NLanfLryU		原路退回
2016-01-28 19:36:52	`2006520438201601280139439997	`110309662016012328580611221453981012	"退款成功"	2016-01-28 19:56:46	76.00	0.00	`1006520438201601232858061122	`E2016012315382011611	1296288001		76.00	wxa9e5e7de9a850cea	odyFWs4jvOt8jqyvFqydE6YDlDpA		原路退回
